;cm_projectno;orderno;shop;partno;order_type;order_date;closing_date;state;internal_repair;serial_batch_no;detail_state;qty_order;backorder;description;condition;receiving_number;delivery_date;condition_POST;ultima_act;ARRIVAL_IN_SHOP;PAUSED;PAUSING_REASON_I;MUTATOR;year;month;day;year_month;tat;TAT_logistic;TAT_ack_to_close;order_date_mean;tat_mean;TAT_ack_to_close_mean;TAT_logistic_mean;indice;TAT_KPI_month
813;CM29341;R3235319;METROLOGY-A;NTG2604-S;R;2019-08-05;2019-08-08;C;Y;13290/006;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;111601;2019-08-08;R;2023-06-28T11:53:20.039Z;2019-08-07;N;-1;AU031609;2019;8;5;2019-08;3;2,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
814;CM15329;R1438919;METROLOGY-A;LG-050;R;2019-02-06;2019-08-13;C;Y;R13256;R;1,0;0,0;DINAMOMETRO;CA;112152;2019-08-13;R;2023-06-28T11:53:20.039Z;2019-08-07;N;-1;AU031609;2019;2;6;2019-02;188;182,0;6,0;2019-02;110,76719576719577;40,24528301886792;119,74528301886792;5;-7,2965946383667895
815;CM29489;R3256319;METROLOGY;0-171 BAR;R;2019-08-06;2019-08-07;C;Y;180900989;R;1,0;0,0;MANOMETRO;CA;111515;2019-08-07;R;2023-06-28T11:53:20.039Z;2019-08-07;N;-1;AR013812;2019;8;6;2019-08;1;1,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
816;CM29129;R3197519;METROLOGY;NTG2604-S;R;2019-07-31;2019-08-17;C;Y;17275/004;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;112676;2019-08-17;R;2023-06-28T11:53:20.039Z;2019-08-07;N;-1;AR013812;2019;7;31;2019-07;17;7,0;10,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
817;CM29488;R3256219;METROLOGY;0-276 BAR;R;2019-08-06;2019-08-07;C;Y;180801664;R;1,0;0,0;MANOMETRO;CA;111541;2019-08-07;R;2023-06-28T11:53:20.039Z;2019-08-07;N;-1;AR013812;2019;8;6;2019-08;1;1,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
818;CM25991;R2741219;METROLOGY-A;BM817;R;2019-06-14;2019-09-27;C;Y;043290162;R;1,0;0,0;MULTIMETRO DIGITAL;CA;116947;2019-09-27;R;2023-06-28T11:53:20.039Z;2019-08-07;N;-1;AU031609;2019;6;14;2019-06;105;54,0;51,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
819;CM27231;R2938019;METROLOGY;J6121F;R;2019-07-04;2019-09-07;C;Y;06122252;R;1,0;0,0;TORQUIMETRO ANALÓGICO PROTO;CA;114817;2019-09-07;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AR013158;2019;7;4;2019-07;65;35,0;30,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
820;CM29593;R3275019;METROLOGY-A;AU-MAN-4000;R;2019-08-08;2019-08-09;C;Y;T-4366;R;1,0;0,0;MANOMETRO;CA;111800;2019-08-09;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AU031609;2019;8;8;2019-08;1;0,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
821;CM29591;R3275619;METROLOGY;TEC602FUAC;R;2019-08-08;2019-09-05;C;Y;1021;R;1,0;0,0;TORQUIMETRO;CA;114554;2019-09-05;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AR023252;2019;8;8;2019-08;28;0,0;28,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
822;CM29596;R3276219;METROLOGY;NTG2604-S;R;2019-08-08;2019-08-17;C;Y;20344/008;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;112665;2019-08-17;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AR013812;2019;8;8;2019-08;9;0,0;9,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
823;CM29551;R3270019;METROLOGY;TEC602FUAC;R;2019-08-07;2019-08-08;C;Y;1016;R;1,0;0,0;TORQUIMETRO;CA;111606;2019-08-08;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AR013812;2019;8;7;2019-08;1;1,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
824;CM18675;R1896919;METROLOGY-A;TECH1FR240;R;2019-03-22;2020-02-07;C;Y;1110601657;R;1,0;0,0;TORQUIMETRO;CA;130151;2020-02-07;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AU047713;2019;3;22;2019-03;322;139,0;183,0;2019-03;58,20422535211268;29,0;38,36144578313253;6;-38,77683799609628
825;CM23281;R2440619;METROLOGY-A;QD4600;R;2019-05-16;2019-08-10;C;Y;0810066213;R;1,0;0,0;TORQUIMETRO;CA;111854;2019-08-10;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AR037638;2019;5;16;2019-05;86;84,0;2,0;2019-05;96,2051282051282;35,85321100917431;71,97247706422019;8;47,77760839739541
826;CM29594;R3274919;METROLOGY-A;AU-MAN-4000;R;2019-08-08;2019-08-09;C;Y;T-4381;R;1,0;0,0;MANOMETRO;CA;111797;2019-08-09;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AU031609;2019;8;8;2019-08;1;0,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
827;CM25446;R2664719;METROLOGY-A;DI15-M-7AEB-Z;R;2019-06-07;2021-04-22;C;Y;AD11466;R;1,0;0,0;TERMOMETRO DIGITAL;CA;150237;2021-04-22;R;2023-06-28T11:53:20.039Z;2019-08-08;N;-1;AR036683;2019;6;7;2019-06;685;62,0;623,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
828;CM29682;R3296619;METROLOGY;VER2600D;R;2019-08-09;2019-08-09;C;Y;17327936;R;1,0;0,0;VERIFICATION SYSTEMS, 6.1MM;CA;111779;2019-08-09;R;2023-06-28T11:53:20.039Z;2019-08-09;N;-1;AR013812;2019;8;9;2019-08;0;0,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
829;CM29031;R3181919;METROLOGY-A;121630-006;R;2019-07-29;2019-08-30;C;Y;3457;R;1,0;0,0;ANALIZADOR-CARGADOR;CA;113956;2019-08-30;R;2023-06-28T11:53:20.039Z;2019-08-09;N;-1;AU031609;2019;7;29;2019-07;32;11,0;21,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
830;CM29184;R3209219;METROLOGY;NTG2604-S;R;2019-07-31;2019-08-12;C;Y;20344/009;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;111980;2019-08-12;R;2023-06-28T11:53:20.039Z;2019-08-09;N;-1;AR013812;2019;7;31;2019-07;12;9,0;3,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
831;CM29261;R3211819;METROLOGY;NTG2604-S;R;2019-08-01;2019-08-26;C;Y;12591/003;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113515;2019-08-26;R;2023-06-28T11:53:20.039Z;2019-08-09;N;-1;AR013158;2019;8;1;2019-08;25;8,0;17,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
832;CM26722;R2864819;METROLOGY-A;10002MRMH;R;2019-06-27;2019-08-10;C;Y;0312502996;R;1,0;0,0;TORQUIMETRO;CA;111867;2019-08-10;R;2023-06-28T11:53:20.039Z;2019-08-10;N;-1;AU047713;2019;6;27;2019-06;44;44,0;0,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
833;CM29925;R3168319;METROLOGY-A;H-2016-01;R;2019-07-26;2019-08-14;C;Y;T31658;R;1,0;0,0;MANOMETRO;CA;112303;2019-08-14;R;2023-06-28T11:53:20.039Z;2019-08-12;N;-1;AU031609;2019;7;26;2019-07;19;17,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
834;CM28929;R3168219;METROLOGY-A;H-2016-01;R;2019-07-26;2019-08-14;C;Y;T-31647;R;1,0;0,0;MANOMETRO;CA;112295;2019-08-14;R;2023-06-28T11:53:20.039Z;2019-08-12;N;-1;AU031609;2019;7;26;2019-07;19;17,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
835;CM29028;R3180119;METROLOGY-A;AU-MAN-4000;R;2019-07-29;2019-08-14;C;Y;T-83;R;1,0;0,0;MANOMETRO;CA;112290;2019-08-14;R;2023-06-28T11:53:20.039Z;2019-08-12;N;-1;AU031609;2019;7;29;2019-07;16;14,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
836;CM29676;R3296419;METROLOGY;235 BAR;R;2019-08-09;2019-08-12;C;Y;8952;R;1,0;0,0;MANOMETRO;US;112010;2019-08-12;US;2023-06-28T11:53:20.039Z;2019-08-12;N;-1;AR013812;2019;8;9;2019-08;3;3,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
837;CM29653;R3290719;METROLOGY-A;NTG2604-S;R;2019-08-09;2019-08-13;C;Y;12014-021;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;112157;2019-08-13;R;2023-06-28T11:53:20.039Z;2019-08-12;N;-1;AU031609;2019;8;9;2019-08;4;3,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
838;CM29681;R3296519;METROLOGY;127-108-00;R;2019-08-09;2019-08-13;C;Y;9414106;R;1,0;0,0;MANOMETRO;CA;112074;2019-08-13;R;2023-06-28T11:53:20.039Z;2019-08-12;N;-1;AR013812;2019;8;9;2019-08;4;3,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
839;CM28283;R3067219;METROLOGY;-30 INHG;R;2019-07-17;2019-08-13;C;Y;7423;R;1,0;0,0;MANOVACUOMETRO;CA;112172;2019-08-13;R;2023-06-28T11:53:20.039Z;2019-08-13;N;-1;AR025908;2019;7;17;2019-07;27;27,0;0,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
840;CM27621;R2962619;METROLOGY-A;5SC-J-72;R;2019-07-05;2019-08-21;C;Y;AU001;R;1,0;0,0;TERMOCUPLA;CA;112966;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-13;N;-1;AU031609;2019;7;5;2019-07;47;39,0;8,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
841;CM29027;R3180019;METROLOGY-A;AU-MAN-1000;R;2019-07-29;2019-08-14;C;Y;T-116;R;1,0;0,0;MANOMETRO;CA;112287;2019-08-14;R;2023-06-28T11:53:20.039Z;2019-08-13;N;-1;AU031609;2019;7;29;2019-07;16;15,0;1,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
842;CM28927;R3168019;METROLOGY-A;AU-MAN-4000;R;2019-07-26;2019-08-16;C;Y;KI16;R;1,0;0,0;MANOMETRO;CA;112604;2019-08-16;R;2023-06-28T11:53:20.039Z;2019-08-14;N;-1;AU031609;2019;7;26;2019-07;21;19,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
843;CM29010;R3180319;METROLOGY-A;H-2016-01;R;2019-07-29;2019-08-15;C;Y;T31651;R;1,0;0,0;MANOMETRO;CA;112465;2019-08-15;R;2023-06-28T11:53:20.039Z;2019-08-14;N;-1;AU031609;2019;7;29;2019-07;17;16,0;1,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
844;CM28928;R3168119;METROLOGY-A;AU-MAN-1000;R;2019-07-26;2019-08-16;C;Y;301011;R;1,0;0,0;MANOMETRO;CA;112601;2019-08-16;R;2023-06-28T11:53:20.039Z;2019-08-14;N;-1;AU031609;2019;7;26;2019-07;21;19,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
845;CM29009;R3180219;METROLOGY-A;H-2016-01;R;2019-07-29;2019-08-16;C;Y;T27804;R;1,0;0,0;MANOMETRO;CA;112549;2019-08-16;R;2023-06-28T11:53:20.039Z;2019-08-14;N;-1;AU031609;2019;7;29;2019-07;18;16,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
846;CM28762;R3143719;METROLOGY;400/1;R;2019-07-24;2019-08-17;C;Y;2732;R;1,0;0,0;MANOMETRO;CA;112647;2019-08-17;R;2023-06-28T11:53:20.039Z;2019-08-15;N;-1;AR013812;2019;7;24;2019-07;24;22,0;2,0;2019-07;123,85526315789474;38,23076923076923;99,95192307692308;10;37,34360184093064
847;CM20734;R2200619;METROLOGY;200PSI;R;2019-04-18;2019-08-17;C;Y;8243;R;1,0;0,0;MANOMETRO;CA;112653;2019-08-17;R;2023-06-28T11:53:20.039Z;2019-08-16;N;-1;AR013812;2019;4;18;2019-04;121;120,0;1,0;2019-04;64,49;18,72340425531915;36,42553191489362;7;-54,88636363636363
848;CM30030;R2845119;METROLOGY;SK827275;R;2019-06-25;2019-08-17;C;Y;1089;R;1,0;0,0;MANOMETRO;CA;112649;2019-08-17;R;2023-06-28T11:53:20.039Z;2019-08-16;N;-1;AR013812;2019;6;25;2019-06;53;52,0;1,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
849;CM14799;R1369219;METROLOGY;100 PSI;R;2019-01-30;2019-08-16;C;Y;7203;R;1,0;0,0;MANOMETRO;CA;112602;2019-08-16;R;2023-06-28T11:53:20.039Z;2019-08-16;N;-1;AR013812;2019;1;30;2019-01;198;198,0;0,0;2019-01;63,67515923566879;43,18181818181818;18,102272727272727;4;-2,9239766081871355
850;CM29665;R3292419;METROLOGY;CU-2581-JM;R;2019-08-09;2019-08-19;C;Y;1427;R;1,0;0,0;MANOMETRO;CA;112731;2019-08-19;R;2023-06-28T11:53:20.039Z;2019-08-17;N;-1;AR013812;2019;8;9;2019-08;10;8,0;2,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
851;CM29999;R3369219;METROLOGY;NTG2604-S;R;2019-08-15;2019-08-20;C;Y;16166/008;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;112884;2019-08-20;R;2023-06-28T11:53:20.039Z;2019-08-17;N;-1;AR013812;2019;8;15;2019-08;5;2,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
852;CM30141;R3393719;METROLOGY-A;AU-MAN-1000;R;2019-08-19;2019-10-01;C;Y;T-4692;R;1,0;0,0;MANOMETRO;CA;117268;2019-10-01;R;2023-06-28T11:53:20.039Z;2019-08-19;N;-1;AU047713;2019;8;19;2019-08;43;0,0;43,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
853;CM30223;R3404319;METROLOGY-A;H-2016-01;R;2019-08-19;2019-10-01;C;Y;T28664;R;1,0;0,0;MANOMETRO;CA;117326;2019-10-01;R;2023-06-28T11:53:20.039Z;2019-08-19;N;-1;AU047713;2019;8;19;2019-08;43;0,0;43,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
854;CM26367;R2778819;METROLOGY-A;FG-5000A;R;2019-06-21;2019-08-26;C;Y;E-65386;R;1,0;0,0;DINAMOMETRO;CA;113436;2019-08-26;R;2023-06-28T11:53:20.039Z;2019-08-19;N;-1;AU031609;2019;6;21;2019-06;66;59,0;7,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
855;CM30138;R3392919;METROLOGY-A;14-6806-6011;R;2019-08-19;2019-10-02;C;Y;AU2922;R;1,0;0,0;GAUGE - TIRE PRESSURE;CA;117394;2019-10-02;R;2023-06-28T11:53:20.039Z;2019-08-19;N;-1;AU047713;2019;8;19;2019-08;44;0,0;44,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
856;CM30221;R3404119;METROLOGY-A;H-2016-01;R;2019-08-19;2019-10-02;C;Y;T28663;R;1,0;0,0;MANOMETRO;CA;117375;2019-10-02;R;2023-06-28T11:53:20.039Z;2019-08-19;N;-1;AU031609;2019;8;19;2019-08;44;0,0;44,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
857;CM30134;R3393419;METROLOGY-A;AU-MAN-1000;R;2019-08-19;2019-10-03;C;Y;T-4627;R;1,0;0,0;MANOMETRO;CA;117591;2019-10-03;R;2023-06-28T11:53:20.039Z;2019-08-19;N;-1;AU031609;2019;8;19;2019-08;45;0,0;45,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
858;CM30388;R3419019;METROLOGY;2-5254418B;R;2019-08-20;2019-08-21;C;Y;105249;R;1,0;0,0;GO NOGO;CA;113031;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-20;N;-1;AR013158;2019;8;20;2019-08;1;0,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
859;CM30374;R3416319;METROLOGY;QD2R1000A;R;2019-08-20;2019-10-05;C;Y;0615060200;R;1,0;0,0;TORQUIMETRO;CA;117781;2019-10-05;R;2023-06-28T11:53:20.039Z;2019-08-20;N;-1;AR013158;2019;8;20;2019-08;46;0,0;46,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
860;CM15067;R1370419;METROLOGY;860PSI;R;2019-01-30;2019-08-20;C;Y;1168;R;1,0;0,0;MANOMETRO;CA;112845;2019-08-20;R;2023-06-28T11:53:20.039Z;2019-08-20;N;-1;AR013812;2019;1;30;2019-01;202;202,0;0,0;2019-01;63,67515923566879;43,18181818181818;18,102272727272727;4;-2,9239766081871355
861;CM20045;R2113219;METROLOGY;VM2-34;R;2019-04-10;2019-09-04;C;Y;5224;R;1,0;0,0;VACUOMETRO;CA;114436;2019-09-04;R;2023-06-28T11:53:20.039Z;2019-08-20;N;-1;AR013812;2019;4;10;2019-04;147;132,0;15,0;2019-04;64,49;18,72340425531915;36,42553191489362;7;-54,88636363636363
862;CM30387;R3418919;METROLOGY;1-525446-5-A;R;2019-08-20;2019-08-21;C;Y;115559;R;1,0;0,0;GO - NOGO;CA;113035;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-20;N;-1;AR013158;2019;8;20;2019-08;1;0,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
863;CM24915;R2607819;METROLOGY;451377 SS;R;2019-06-03;2019-08-21;C;Y;2073;R;1,0;0,0;MANOMETRO;CA;113039;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR013158;2019;6;3;2019-06;79;79,0;0,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
864;CM30356;R3415019;METROLOGY;NTG2604-S;R;2019-08-20;2019-08-24;C;Y;14038/003;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113362;2019-08-24;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR014968;2019;8;20;2019-08;4;1,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
865;CM24913;R2607719;METROLOGY;60137755;R;2019-06-03;2019-08-21;C;Y;Q586;R;1,0;0,0;MANOMETRO;CA;113001;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR013812;2019;6;3;2019-06;79;79,0;0,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
866;CM30330;R3409819;METROLOGY;NTG2604-S;R;2019-08-20;2019-08-24;C;Y;20344/001;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113357;2019-08-24;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR014968;2019;8;20;2019-08;4;1,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
867;CM24916;R2607919;METROLOGY;30137755;R;2019-06-03;2019-08-21;C;Y;Q586;R;1,0;0,0;MANOMETRO;CA;113026;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR013812;2019;6;3;2019-06;79;79,0;0,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
868;CM30154;R3395519;METROLOGY;NTG2604-S;R;2019-08-19;2019-08-24;C;Y;16165/006;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113350;2019-08-24;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR013158;2019;8;19;2019-08;5;2,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
869;CM30430;R3424019;METROLOGY;ACCURA 5;R;2019-08-21;2019-08-24;C;Y;140929083;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113375;2019-08-24;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AR014968;2019;8;21;2019-08;3;0,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
870;CM30347;R3414019;METROLOGY-A;HS-3V;R;2019-08-20;2019-08-21;C;Y;102Q04R2;R;1,0;0,0;CRONOMETRO;CA;113005;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AU031609;2019;8;20;2019-08;1;1,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
871;CM30421;R3423519;METROLOGY-A;N1200;R;2019-08-21;2019-08-27;C;Y;200516;R;1,0;0,0;INDICADOR DE TEMP.;CA;113618;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AU031609;2019;8;21;2019-08;6;0,0;6,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
872;CM30417;R3422619;METROLOGY-A;NTG2604-S;R;2019-08-21;2019-08-21;C;Y;12014-011;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113036;2019-08-21;R;2023-06-28T11:53:20.039Z;2019-08-21;N;-1;AU031609;2019;8;21;2019-08;0;0,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
873;CM29928;R3352719;METROLOGY;AMP 7324;R;2019-08-14;2019-09-12;C;Y;7581;R;1,0;0,0;MANOMETRO;CA;115294;2019-09-12;R;2023-06-28T11:53:20.039Z;2019-08-22;N;-1;AR026917;2019;8;14;2019-08;29;8,0;21,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
874;CM29866;R3332419;METROLOGY;59461;R;2019-08-13;2019-08-22;C;Y;S1447120;R;1,0;0,0;MANDRILADORA DE CABLE;CA;113170;2019-08-22;R;2023-06-28T11:53:20.039Z;2019-08-22;N;-1;AR013158;2019;8;13;2019-08;9;9,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
875;CM30525;R3452619;METROLOGY-A;AU-ACCES;R;2019-08-23;2019-08-26;C;Y;MTR1;R;1,0;0,0;CAJA DE ACCESORIOS;CA;113435;2019-08-26;R;2023-06-28T11:53:20.039Z;2019-08-22;N;-1;AU031609;2019;8;23;2019-08;3;0,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
876;CM30541;R3452919;METROLOGY;NTG2604-S;R;2019-08-23;2019-08-26;C;Y;17275/009;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;113500;2019-08-26;R;2023-06-28T11:53:20.039Z;2019-08-23;N;-1;AR013158;2019;8;23;2019-08;3;0,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
877;CM29764;R3255019;METROLOGY;F70199-52;R;2019-08-12;2019-08-24;C;Y;AE007891;R;1,0;0,0;INFLATION TOOL TIRE DIGITAL;CA;113348;2019-08-24;R;2023-06-28T11:53:20.039Z;2019-08-23;N;-1;AR013158;2019;8;12;2019-08;12;11,0;1,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
878;CM30573;R3411119;METROLOGY;F70199-52;R;2019-08-20;2019-08-27;C;Y;AE007601;R;1,0;0,0;INFLATION TOOL TIRE DIGITAL;CA;113627;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-24;N;-1;AR013158;2019;8;20;2019-08;7;4,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
879;CM29466;R3251719;METROLOGY;F70199-52;R;2019-08-06;2019-08-27;C;Y;AE007606;R;1,0;0,0;INFLATION TOOL TIRE DIGITAL;CA;113603;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-24;N;-1;AR013158;2019;8;6;2019-08;21;18,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
880;CM30571;R3410419;METROLOGY;F70199-52;R;2019-08-20;2019-08-27;C;Y;AE007928;R;1,0;0,0;INFLATION TOOL TIRE DIGITAL;CA;113597;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-24;N;-1;AR013158;2019;8;20;2019-08;7;4,0;3,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
881;CM26016;R2744119;METROLOGY;60137755;R;2019-06-14;2019-08-27;C;Y;203327;R;1,0;0,0;MANOMETRO;CA;113658;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-26;N;-1;AR013158;2019;6;14;2019-06;74;73,0;1,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
882;CM30903;R3494519;METROLOGY;60137755;R;2019-08-27;2019-08-29;C;Y;2074;R;1,0;0,0;MANOMETRO;CA;113886;2019-08-29;R;2023-06-28T11:53:20.039Z;2019-08-27;N;-1;AR013158;2019;8;27;2019-08;2;0,0;2,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
883;CM30902;R3494419;METROLOGY;800 PSI;R;2019-08-27;2019-08-27;C;Y;8686;R;1,0;0,0;MANOMETRO;CA;113657;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-27;N;-1;AR013158;2019;8;27;2019-08;0;0,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
884;CM30162;R3395819;METROLOGY-A;169400;R;2019-08-19;2019-08-27;C;Y;CT67;R;1,0;0,0;MANDRILADORA PINES;CA;113650;2019-08-27;R;2023-06-28T11:53:20.039Z;2019-08-27;N;-1;AU031609;2019;8;19;2019-08;8;8,0;0,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
885;CM30912;R3496319;METROLOGY-A;H-2016-01;R;2019-08-27;2019-10-03;C;Y;T27846;R;1,0;0,0;MANOMETRO;CA;117576;2019-10-03;R;2023-06-28T11:53:20.039Z;2019-08-28;N;-1;AU031609;2019;8;27;2019-08;37;1,0;36,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
886;CM30949;R3499919;METROLOGY-A;AU-MAN100BAR;R;2019-08-27;2019-11-27;C;Y;1400;R;1,0;0,0;MANÓMETRO;CA;122710;2019-11-27;R;2023-06-28T11:53:20.039Z;2019-08-28;N;-1;AU031609;2019;8;27;2019-08;92;1,0;91,0;2019-08;65,31012658227849;25,23148148148148;38,56481481481482;11;-51,52011291460834
