STATUS_CM,DETAILS,SHOP,LABELNO,ORDERNO,ORDERDATE,CM_PROJECTNO,PARTNO,SERIALNO,DESCRIPTION,QTY,DAYS_OPND,LOCATION,ARRIVAL_IN_SHOP,PAUSED,GROUP-SHOP,BACKORDER,ORDER_STATUS,TARGET_DATE,CONFIRMED_DATE,TOOL,MAT_CLASS,DURATION,STOCK,STOCK_PN,STOCK_INAC_WALTN,STOCK_IND_TOT,CONTRACT,POOL,PRIORP,PRIORP_RMK,pr_Available,pr_Transfer,pr_Order_Ext,pr_Order_Int,pr_Unavailable,ESTADO_MATERIALES,STATUS_NO_TOOL,STATUS_TOOL,PAUSED_NO_SHOP_TAT,PAUSED_SHOP_TAT,CM_STATUS_GLOB,WS_FIRMADO,WS_PENDIENTE,WS_PEND_INSP,WS_TOT,NEXT_WS,NEXT_STATUS,NEXT_DESC,NEXT_SOLAPA,step_date,step_days,porcent,steps
PAUSED - OTHER,,METROLOGY,0,R0026275TRF,2016-12-15,CM2485,A6Q,8515,COMPARADOR,1,2388,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.72,PAUSED,0,1,0,1,2484,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026275TRF,2016-12-15,CM79312,A6Q,8515,COMPARADOR,1,2388,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,185,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,12,0,0,12,,,,,2022-07-25,340,100.0,12 de 12
PAUSED - OTHER,,METROLOGY,0,R2719019,2019-06-12,CM25887,A6Q,8517,COMPARADOR,1,1479,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.72,PAUSED,0,4,0,4,282559,WS_PENDIENTE,DECIRLE AL SISTEMA LAS FECHAS NUEVAS,Requirements,2019-06-12,1479,25.0,1 de 4
PAUSED - NO MANPOWER,,METROLOGY,254105,R1401623,2023-05-16,CM100256,AI9000-2B,7841,BLISTER,1,45,AEP/AR-TL-HA/U/S,2023-05-19,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,41.87,PAUSED,0,2,0,2,1157873,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AI9000-2B S/N:7841,Requirements,2023-05-16,45,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,118163,R1844320,2020-11-06,CM49788,AU-ESC,960905,MANOMETRO,1,966,AEP/AU-TOOL/U/S,2022-04-14,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.64,PAUSED,0,1,0,1,580795,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-ESC S/N:960905,Requirements,2022-04-14,442,100.0,1 de 1
PAUSED - OTHER,,METROLOGY-A,0,R0025303TRF,2018-04-11,CM2995,AU-FMA,FMA-2611,MANOMETRO,1,1906,AEP/SHOP-AEP/U/S,2021-08-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,695.7,PAUSED,0,1,0,1,2993,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY-A,0,R0025303TRF,2018-04-11,CM78349,AU-FMA,FMA-2611,MANOMETRO,1,1906,AEP/SHOP-AEP/U/S,,N,SHOP_EZE,1,O,,,Y,R,416,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,12,0,0,12,,,,,2022-07-04,361,100.0,12 de 12
PAUSED - NO MANPOWER,,METROLOGY-A,119954,R1998420,2020-11-26,CM50662,AU-MAN,9802A12,MANOMETRO,1,946,AEP/AU-TOOL/U/S,2022-04-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.68,PAUSED,0,1,0,1,587050,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN S/N:9802A12,Requirements,2022-04-26,430,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,388718,R1725823,2023-06-15,CM102278,AU-MAN,20307,MANOMETRO,1,15,AEP/AU-TOOL/U/S,2023-06-16,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,13.7,PAUSED,0,7,2,9,1184569,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN S/N:20307,Requirements,2023-06-16,14,11.0,1 de 9
PAUSED - OTHER,,METROLOGY-A,11486,R4373919,2019-11-11,CM36273,AU-MAN,SFN01,MANOMETRO,1,1327,AEP/AU-TOOL/U/S,2021-08-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,695.79,PAUSED,0,2,0,2,425309,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN S/N:SFN01,Requirements,2019-11-11,1327,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,515040,R1557223,2023-05-31,CM101249,AU-MAN,9802A107,MANOMETRO,1,30,AEP/AU-TOOL/U/S,2023-06-01,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,28.76,PAUSED,0,7,2,9,1171312,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN S/N:9802A107,Requirements,2023-06-01,29,11.0,1 de 9
PAUSED - OTHER,,METROLOGY-A,13493,R2565919,2019-05-28,CM24482,AU-MAN,EM-151196,MANOMETRO,1,1494,AEP/AU-TOOL/U/S,2021-08-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,695.7,PAUSED,0,2,0,2,266848,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN S/N:EM-151196,Requirements,2019-05-28,1494,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,107408,R1019020,2020-05-27,CM45108,AU-MAN-100,0811A297,MANOMETRO,1,1129,AEP/AU-TOOL/U/S,2022-04-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.67,PAUSED,0,1,0,1,541189,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-100 S/N:0811A297,Requirements,2022-04-21,435,100.0,1 de 1
PAUSED - OTHER,,METROLOGY-A,0,R0025240TRF,2017-03-08,CM2932,AU-MAN-300,AU-001,MANOMETRO,1,2305,AEP/SHOP-AEP/U/S,2021-09-09,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,658.72,PAUSED,0,1,0,1,2930,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY-A,0,R0025240TRF,2017-03-08,CM78286,AU-MAN-300,AU-001,MANOMETRO,1,2305,AEP/SHOP-AEP/U/S,,N,SHOP_EZE,1,O,,,Y,R,452,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,23,0,0,23,,,,,2022-08-20,314,100.0,23 de 23
PAUSED - NO MANPOWER,,METROLOGY-A,249913,R1174922,2022-05-11,CM75547,AU-MAN-4000,T-4635,MANOMETRO,1,415,AEP/AU-TOOL/U/S,2022-05-13,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,412.82,PAUSED,0,1,0,1,858370,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4635,Requirements,2022-05-13,413,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,206387,R0847122,2022-04-05,CM73192,AU-MAN-4000,T-974,MANOMETRO,1,451,AEP/AR-MAIN/U/S,2022-04-05,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,450.56,PAUSED,0,1,0,1,828903,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-974,Requirements,2022-04-05,451,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,490161,R1137823,2023-04-20,CM98396,AU-MAN-4000,RD568240,MANOMETRO,1,71,AEP/AU-TOOL/U/S,2023-04-24,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,66.76,PAUSED,0,7,2,9,1133714,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:RD568240,Requirements,2023-04-24,67,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,462398,R0597023,2023-03-08,CM94769,AU-MAN-4000,T-6106,MANOMETRO,1,114,AEP/AU-TOOL/U/S,2023-03-13,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,108.85,PAUSED,0,1,0,1,1095623,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-6106,Requirements,2023-03-13,109,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,3471,R4029819,2019-10-08,CM33897,AU-MAN-4000,T-5049,MANOMETRO,1,1361,AEP/AU-TOOL/U/S,2022-04-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.69,PAUSED,0,1,0,1,393575,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-5049,Requirements,2022-04-26,430,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,4169,R4146519,2019-10-18,CM34707,AU-MAN-4000,T-5017,MANOMETRO,1,1351,AEP/AU-TOOL/U/S,2022-04-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.68,PAUSED,0,1,0,1,405263,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-5017,Requirements,2022-04-26,430,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,429115,R0260923,2023-01-31,CM92540,AU-MAN-4000,T-6102,MANOMETRO,1,150,AEP/AR-MAIN/U/S,2023-02-06,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,143.74,PAUSED,0,1,0,1,1067549,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-6102,Requirements,2023-02-06,144,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,143335,R1130321,2021-06-25,CM59241,AU-MAN-4000,050198,MANOMETRO,1,735,AEP/AU-MAIN/U/S,2022-04-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.64,PAUSED,0,1,0,1,674129,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:050198,Requirements,2022-04-21,435,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,341311,R1833222,2022-07-22,CM80121,AU-MAN-4000,T-4703,MANOMETRO,1,343,AEP/AU-TOOL/U/S,2022-07-27,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,337.91,PAUSED,0,1,0,1,920306,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4703,Requirements,2022-07-27,338,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,356045,R2153522,2022-08-29,CM82470,AU-MAN-4000,T-4270,MANOMETRO,1,305,AEP/AU-TOOL/U/S,2022-08-29,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,304.76,PAUSED,0,1,0,1,947701,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4270,Requirements,2022-08-29,305,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,429184,R0262423,2023-01-31,CM92545,AU-MAN-4000,T-992,MANOMETRO,1,150,AEP/AR-MAIN/U/S,2023-02-06,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,143.69,PAUSED,0,1,0,1,1067599,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-992,Requirements,2023-02-06,144,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,127617,R0304721,2021-02-17,CM53639,AU-MAN-4000,T-4698,MANOMETRO,1,863,AEP/AU-MAIN/U/S,2022-05-05,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.78,PAUSED,0,1,0,1,616355,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4698,Requirements,2022-05-05,421,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,521970,R1676423,2023-06-12,CM102025,AU-MAN-4000,960908,MANOMETRO,1,18,AEP/AU-TOOL/U/S,2023-06-12,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,17.75,PAUSED,0,7,2,9,1180211,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:960908,Requirements,2023-06-12,18,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,345783,R1973122,2022-08-09,CM80981,AU-MAN-4000,T-5003,MANOMETRO,1,325,AEP/AU-TOOL/U/S,2022-08-16,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,317.74,PAUSED,0,1,0,1,936512,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-5003,Requirements,2022-08-16,318,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,252379,R1218822,2022-05-16,CM75783,AU-MAN-4000,T-23,MANOMETRO,1,410,AEP/AU-TOOL/U/S,2022-05-17,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,408.82,PAUSED,0,1,0,1,862794,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-23,Requirements,2022-05-17,409,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,26138,R1440219,2019-02-06,CM15407,AU-MAN-4000,100910,MANOMETRO,1,1605,AEP/AU-TOOL/U/S,2022-06-23,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,371.79,PAUSED,0,1,0,1,155815,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:100910,Requirements,2022-06-23,372,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,515039,R1557123,2023-05-31,CM101251,AU-MAN-4000,110516,MANOMETRO,1,30,AEP/AU-TOOL/U/S,2023-06-01,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,28.76,PAUSED,0,7,2,9,1171352,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:110516,Requirements,2023-06-01,29,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,118165,R1844520,2020-11-06,CM49790,AU-MAN-4000,T-12240,MANOMETRO,1,966,AEP/AU-TOOL/U/S,2022-04-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.63,PAUSED,0,1,0,1,580799,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-12240,Requirements,2022-04-21,435,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,347321,R1982522,2022-08-10,CM81153,AU-MAN-4000,T-5019,MANOMETRO,1,324,EZE/AR-TL-H/U/S,2022-08-16,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,317.74,PAUSED,0,1,0,1,936521,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-5019,Requirements,2022-08-16,318,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,130330,R0453721,2021-03-11,CM54669,AU-MAN-4000,T-83,MANOMETRO,1,841,AEP/AU-MAIN/U/S,2022-05-09,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.78,PAUSED,0,1,0,1,626636,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-83,Requirements,2022-05-09,417,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,412553,R3165622,2022-12-16,CM89638,AU-MAN-4000,C-93272,MANOMETRO,1,196,EZE/AR-TL-SH/U/S,2022-12-30,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,181.67,PAUSED,0,1,0,1,1031773,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:C-93272,Requirements,2022-12-30,182,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,3472,R4029719,2019-10-08,CM33896,AU-MAN-4000,T-5050,MANOMETRO,1,1361,AEP/AU-TOOL/U/S,2022-04-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.69,PAUSED,0,1,0,1,393573,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-5050,Requirements,2022-04-26,430,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,4179,R4146719,2019-10-18,CM34706,AU-MAN-4000,T-5018,MANOMETRO,1,1351,AEP/AU-TOOL/U/S,2022-04-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.68,PAUSED,0,1,0,1,405261,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-5018,Requirements,2022-04-26,430,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,415818,R3252022,2022-12-28,CM90283,AU-MAN-4000,T-6108,MANOMETRO,1,184,AEP/AU-TOOL/U/S,2023-01-02,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,178.85,PAUSED,0,1,0,1,1039551,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-6108,Requirements,2023-01-02,179,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,121787,R2074720,2020-12-15,CM51395,AU-MAN-4000,T-954,MANOMETRO,1,927,AEP/AU-MAIN/U/S,2022-04-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.67,PAUSED,0,1,0,1,591402,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-954,Requirements,2022-04-21,435,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,517236,R1592323,2023-06-02,CM101449,AU-MAN-4000,T-1076,MANOMETRO,1,28,AEP/AU-TOOL/U/S,2023-06-05,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,24.82,PAUSED,0,7,2,9,1173529,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-1076,Requirements,2023-06-05,25,11.0,1 de 9
PAUSED - OTHER,,METROLOGY-A,11490,R4373819,2019-11-11,CM36277,AU-MAN-4000,9802A278,MANOMETRO,1,1327,AEP/AU-TOOL/U/S,2021-08-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,695.79,PAUSED,0,2,0,2,425743,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:9802A278,Requirements,2019-11-11,1327,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,429138,R0261523,2023-01-31,CM92542,AU-MAN-4000,T-6105,MANOMETRO,1,150,AEP/AR-MAIN/U/S,2023-02-06,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,143.67,PAUSED,0,1,0,1,1067563,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-6105,Requirements,2023-02-06,144,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,462703,R0605923,2023-03-08,CM94801,AU-MAN-4000,T-4641,MANOMETRO,1,114,EZE/AR-TL-H/U/S,2023-03-13,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,108.76,PAUSED,0,1,0,1,1096264,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4641,Requirements,2023-03-13,109,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,296127,R1524322,2022-06-21,CM77916,AU-MAN-4000,T-4572,MANOMETRO,1,374,AEP/AU-TOOL/U/S,2022-06-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,372.92,PAUSED,0,1,0,1,892838,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4572,Requirements,2022-06-21,374,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,429189,R0262723,2023-01-31,CM92546,AU-MAN-4000,T-1001,MANOMETRO,1,150,AEP/AR-MAIN/U/S,2023-02-06,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,143.66,PAUSED,0,1,0,1,1067601,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-1001,Requirements,2023-02-06,144,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,498855,R1248323,2023-05-02,CM99167,AU-MAN-4000,9802A275,MANOMETRO,1,59,AEP/AU-TOOL/U/S,2023-05-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,57.78,PAUSED,0,7,2,9,1143726,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:9802A275,Requirements,2023-05-03,58,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,429120,R0261423,2023-01-31,CM92541,AU-MAN-4000,T-4693,MANOMETRO,1,150,AEP/AR-MAIN/U/S,2023-02-06,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,143.72,PAUSED,0,1,0,1,1067551,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:T-4693,Requirements,2023-02-06,144,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,394786,R3079722,2022-12-06,CM89096,AU-MAN-4000,980303,MANOMETRO,1,206,AEP/AU-TOOL/U/S,2022-12-07,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,204.83,PAUSED,0,1,0,1,1024830,WS_PENDIENTE,CA (CALIBRATION) ON P/N:AU-MAN-4000 S/N:980303,Requirements,2022-12-07,205,100.0,1 de 1
