STATUS_CM,DETAILS,SHOP,LABELNO,ORDERNO,ORDERDATE,CM_PROJECTNO,PARTNO,SERIALNO,DESCRIPTION,QTY,DAYS_OPND,LOCATION,ARRIVAL_IN_SHOP,PAUSED,GROUP-SHOP,BACKORDER,ORDER_STATUS,TARGET_DATE,CONFIRMED_DATE,TOOL,MAT_CLASS,DURATION,STOCK,STOCK_PN,STOCK_INAC_WALTN,STOCK_IND_TOT,CONTRACT,POOL,PRIORP,PRIORP_RMK,pr_Available,pr_Transfer,pr_Order_Ext,pr_Order_Int,pr_Unavailable,ESTADO_MATERIALES,STATUS_NO_TOOL,STATUS_TOOL,PAUSED_NO_SHOP_TAT,PAUSED_SHOP_TAT,CM_STATUS_GLOB,WS_FIRMADO,WS_PENDIENTE,WS_PEND_INSP,WS_TOT,NEXT_WS,NEXT_STATUS,NEXT_DESC,NEXT_SOLAPA,step_date,step_days,porcent,steps
RUNNING,PENDING TO TRANSFER - UNIT IN SHOP,METROLOGY,197090,R1418223,2023-05-17,CM100371,34401A,US36043134,MULTIMETRO DIGITAL HP (KEYSIGHT),1,44,EZE/AR-TL-SH/PRESERVADO METRO,2023-05-17,N,SHOP_EZE,1,O,,,Y,R,6221,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,20.27,RUNNING,0,8,2,10,1159312,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:US36043134,Requirements,2023-05-17,44,10.0,1 de 10
PAUSED - OTHER,,METROLOGY,308361,R1790723,2023-06-22,CM102730,34401A,US36134299,MULTIMETRO DIGITAL HP (KEYSIGHT),1,8,EZE/AR-TL-SH/U/S,2023-06-22,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,7.62,PAUSED,0,2,0,2,1189289,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:US36134299,Requirements,2023-06-22,8,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,306300,R1644823,2023-06-07,CM101767,34401A,MY41037076,MULTIMETRO DIGITAL HP (KEYSIGHT),1,23,EZE/AR-TL-SH/U/S,2023-06-08,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,21.69,PAUSED,0,2,0,2,1177376,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:MY41037076,Requirements,2023-06-07,23,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,291138,R1463423,2023-05-22,CM100693,34401A,3146A46728,MULTIMETRO DIGITAL HP (KEYSIGHT),1,39,EZE/AR-TL-SH/U/S,2023-05-24,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,36.65,PAUSED,0,2,0,2,1163692,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:3146A46728,Requirements,2023-05-22,39,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,302341,R1818523,2023-06-23,CM102884,34401A,3146A53917,MULTIMETRO DIGITAL HP (KEYSIGHT),1,7,EZE/AR-TL-SH/U/S,2023-06-23,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,6.61,PAUSED,0,2,0,2,1190934,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:3146A53917,Requirements,2023-06-23,7,50.0,1 de 2
RUNNING,PENDING TO TRANSFER - UNIT IN SHOP,METROLOGY,1002244,R1360219,2019-01-29,CM14740,3500PSI,14773/004,MANOMETRO,1,1613,EZE/AR-TL-H/U/S,2019-01-30,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,RUNNING,0,1,0,1,148431,WS_PENDIENTE,CALIBRATION,Check,2019-01-29,1613,100.0,1 de 1
PAUSED - OTHER,,METROLOGY,299938,R1792623,2023-06-22,CM102747,35714,2344,MANOMETRO,1,8,EZE/AR-TL-H/U/S,2023-06-23,Y,SHOP_EZE,1,O,,,Y,R,122,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,6.84,PAUSED,4,0,3,7,1194968,WS_PEND_INSP,Calibración,Check,2023-06-27,3,57.0,4 de 7
OPEN,OLDER-OPEN,METROLOGY,999000,R1890119,2019-03-21,CM18627,36-48IN,2969,CINTA PROMEDIADORA,1,1562,EZE/AR-TL-SH/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,3,0,3,200471,WS_PENDIENTE,DECIRLE AL SISTEMA LAS FECHAS NUEVAS,Requirements,2019-03-21,1562,33.0,1 de 3
PAUSED - OTHER,,METROLOGY,0,R0025985TRF,2018-05-24,CM2195,3MM,709356,ALESAMETRO CON COMPARADOR,1,1863,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.78,PAUSED,0,1,0,1,2194,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025985TRF,2018-05-24,CM79022,3MM,709356,ALESAMETRO CON COMPARADOR,1,1863,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,258,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,18,0,0,18,,,,,2022-07-11,354,100.0,18 de 18
OPEN-TRANSFER-TO-SHOP,OLDER-OPEN-TRANSF-TO-SHOP,METROLOGY,0,R0025984TRF,2016-02-23,CM2194,3MM,6996,ALESAMETRO CON COMPARADOR,1,2684,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,1,0,1,2193,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025984TRF,2016-02-23,CM79021,3MM,6996,ALESAMETRO CON COMPARADOR,1,2684,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,261,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,11,0,0,11,,,,,2022-07-11,354,100.0,11 de 11
PAUSED - OTHER,,METROLOGY-A,0,R0025292TRF,2018-01-17,CM2984,400-BHD,8067,MANDRILADORA PINES,1,1990,AEP/SHOP-AEP/U/S,2021-09-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,646.76,PAUSED,0,1,0,1,2982,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY-A,0,R0025292TRF,2018-01-17,CM78338,400-BHD,8067,MANDRILADORA PINES,1,1990,AEP/SHOP-AEP/U/S,,N,SHOP_EZE,1,O,,,Y,R,5,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,1,0,0,1,,,,,2022-06-28,367,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,OLDER-OPEN-TRANSF-TO-SHOP,METROLOGY,0,R0025997TRF,2012-10-05,CM2207,4000 PSI,8529,MANOMETRO,1,3920,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,1,0,1,2206,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025997TRF,2012-10-05,CM79034,4000 PSI,8529,MANOMETRO,1,3920,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,270,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,2,0,0,2,,,,,2022-07-09,356,100.0,2 de 2
PAUSED - OTHER,,METROLOGY,0,R0025994TRF,2016-06-25,CM2204,4000 PSI,8233456,MANOMETRO,1,2561,EZE/SHOP-EZE/U/S,2022-10-03,Y,SHOP_EZE,1,O,,,Y,R,299,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,269.53,PAUSED,0,7,2,9,1173145,WS_PENDIENTE,Asignación de Patrones,Standard,2023-06-02,28,11.0,1 de 9
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025994TRF,2016-06-25,CM79031,4000 PSI,8233456,MANOMETRO,1,2561,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,6,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,1,0,0,1,,,,,2022-07-15,350,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY,295096,R1724523,2023-06-15,CM102270,400KG,3298,MANOMETRO,1,15,AEP/AR-TL-HA/U/S,2023-06-16,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,13.67,PAUSED,0,2,0,2,1184332,WS_PENDIENTE,CA (CALIBRATION) ON P/N:400KG S/N:3298,Requirements,2023-06-16,14,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,89766,R2004420,2020-11-27,CM50694,4200LBF,3137,MANOMETRO DE MANDRILADORA,1,945,EZE/AR-TL-SH/U/S,2020-12-30,Y,SHOP_EZE,1,O,,,Y,R,94,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,784.65,PAUSED,1,0,1,2,951535,WS_PEND_INSP,Validación de datos,Final Inspection,2022-09-01,302,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,168613,R2632322,2022-10-19,CM86057,4200LBF,3136,MANOMETRO DE MANDRILADORA,1,254,AEP/AR-TL-HA/U/S,2022-10-31,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,241.96,PAUSED,0,6,2,8,988195,WS_PENDIENTE,CA (CALIBRATION) ON P/N:4200LBF S/N:3136,Requirements,2022-10-19,254,13.0,1 de 8
PAUSED - NO MANPOWER,,METROLOGY,166725,R2598422,2022-10-14,CM85754,4200LBF,3281,MANOMETRO DE MANDRILADORA,1,259,EZE/AR-TL-H/U/S,2022-10-18,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,254.71,PAUSED,0,6,2,8,984972,WS_PENDIENTE,CA (CALIBRATION) ON P/N:4200LBF S/N:3281,Requirements,2022-10-14,259,13.0,1 de 8
