cm_projectno,orderno,shop,cm_projectno_i,detailno_i,partno,orderno_i,order_type,order_date,closing_date,state,internal_repair,serial_batch_no,detail_state,qty_order,backorder,description,condition,receiving_number,detailno_i_rec,receiving_detail_number_id,qty_rec,partno_rec,delivery_date,serial_batch_rec,condition_POST,tat,ultima_act,ARRIVAL_IN_SHOP,DETAILNO_I_CM,PAUSED,PAUSING_REASON_I,MUTATOR,TAT_ack_to_close
CM101355,R1573323,METROLOGY,101355,307752,ATECH2FR125B,244797,R,2023-06-01,2023-06-11,C,Y,0322101515,R,1.0,0.0,"TORQUIMETRO 60-1500 LBS/IN ENC 3/8""",CA,215848,307752,581862,1.0,ATECH2FR125B,2023-06-11,0322101515,R,10,2023-06-28T11:53:20.039Z,2023-06-02,307752,N,5,AR027170,9
CM101355,R1573323,METROLOGY,101355,307752,ATECH2FR125B,244797,R,2023-06-01,2023-06-11,C,Y,0322101515,R,1.0,0.0,"TORQUIMETRO 60-1500 LBS/IN ENC 3/8""",CA,215848,307752,581862,1.0,ATECH2FR125B,2023-06-11,0322101515,R,10,2023-06-28T11:53:20.039Z,,101355,N,-1,AR027170,
CM101414,R1584023,METROLOGY,101414,307919,NDT1015,244955,R,2023-06-02,2023-06-11,C,Y,E030475,R,1.0,0.0,MANOMETRO,CA,215843,307919,581857,1.0,NDT1015,2023-06-11,E030475,R,9,2023-06-28T11:53:20.039Z,,101414,N,-1,AR027170,
CM101414,R1584023,METROLOGY,101414,307919,NDT1015,244955,R,2023-06-02,2023-06-11,C,Y,E030475,R,1.0,0.0,MANOMETRO,CA,215843,307919,581857,1.0,NDT1015,2023-06-11,E030475,R,9,2023-06-28T11:53:20.039Z,2023-06-05,307919,N,2,AR027170,6
CM101534,R1601823,METROLOGY,101534,308197,733XFL1.,245186,R,2023-06-05,2023-06-26,C,Y,98470794,R,1.0,0.0,MANOMETRO,CA,217390,308197,585465,1.0,733XFL1.,2023-06-26,98470794,R,21,2023-06-28T11:53:20.039Z,2023-06-05,308197,N,2,AR029578,21
CM101534,R1601823,METROLOGY,101534,308197,733XFL1.,245186,R,2023-06-05,2023-06-26,C,Y,98470794,R,1.0,0.0,MANOMETRO,CA,217390,308197,585465,1.0,733XFL1.,2023-06-26,98470794,R,21,2023-06-28T11:53:20.039Z,,101534,N,-1,AR029578,
CM101550,R1602323,METROLOGY,101550,308202,60 PSI,245191,R,2023-06-05,2023-06-13,C,Y,1099,R,1.0,0.0,MANOMETRO,CA,216147,308202,582446,1.0,60 PSI,2023-06-13,1099,R,8,2023-06-28T11:53:20.039Z,,101550,N,-1,AR027170,
CM101550,R1602323,METROLOGY,101550,308202,60 PSI,245191,R,2023-06-05,2023-06-13,C,Y,1099,R,1.0,0.0,MANOMETRO,CA,216147,308202,582446,1.0,60 PSI,2023-06-13,1099,R,8,2023-06-28T11:53:20.039Z,2023-06-05,308202,N,2,AR027170,8
CM101551,R1600923,METROLOGY,101551,308188,70635A,245177,R,2023-06-05,2023-06-23,C,Y,217575,R,1.0,0.0,MANOMETRO,CA,217317,308188,585181,1.0,70635A,2023-06-23,217575,R,18,2023-06-28T11:53:20.039Z,,101551,N,-1,AR027170,
CM101551,R1600923,METROLOGY,101551,308188,70635A,245177,R,2023-06-05,2023-06-23,C,Y,217575,R,1.0,0.0,MANOMETRO,CA,217317,308188,585181,1.0,70635A,2023-06-23,217575,R,18,2023-06-28T11:53:20.039Z,2023-06-05,308188,N,2,AR027170,18
CM101742,R1641623,METROLOGY,101742,308837,TE602FUA,245694,R,2023-06-07,2023-06-09,C,Y,10963,R,1.0,0.0,TORQUIMETRO,CA,215761,308837,581665,1.0,TE602FUA,2023-06-09,10963,R,2,2023-06-28T11:53:20.039Z,,101742,N,-1,AR027170,
CM101742,R1641623,METROLOGY,101742,308837,TE602FUA,245694,R,2023-06-07,2023-06-09,C,Y,10963,R,1.0,0.0,TORQUIMETRO,CA,215761,308837,581665,1.0,TE602FUA,2023-06-09,10963,R,2,2023-06-28T11:53:20.039Z,2023-06-08,308837,N,5,AR027170,1
CM101745,R1642223,METROLOGY,101745,308847,J6134F,245704,R,2023-06-07,2023-06-11,C,Y,10910010,R,1.0,0.0,TORQUIMETRO,CA,215844,308847,581858,1.0,J6134F,2023-06-11,10910010,R,4,2023-06-28T11:53:20.039Z,,101745,N,-1,AR027170,
CM101745,R1642223,METROLOGY,101745,308847,J6134F,245704,R,2023-06-07,2023-06-11,C,Y,10910010,R,1.0,0.0,TORQUIMETRO,CA,215844,308847,581858,1.0,J6134F,2023-06-11,10910010,R,4,2023-06-28T11:53:20.039Z,2023-06-08,308847,N,5,AR027170,3
